career,age,year,month_income,year_income,month_investment,year_investment,rate_of_return_income,special_event
2,28,2022,2575000,30900000,1610079,19320948,30633162,
3,29,2023,2652250,31827000,1687329,20247948,55725165.5,2300000
4,30,2024,2731817.5,32781810,1766896.5,21202758,60774319.68,-20000000
5,31,2025,2813772.025,33765264.3,1408851.025,16906212.3,81564558.57,
6,32,2026,2898185.186,34778222.23,1493264.186,17919170.23,104457915.2,
7,33,2027,2985130.741,35821568.9,1580209.741,18962516.9,129591453.7,
8,34,2028,3074684.664,36896215.96,1669763.664,20037163.96,107110048.6,-50000000
9,35,2029,3166925.203,38003102.44,922004.2035,11064050.44,124082804,
10,36,2030,3261932.96,39143195.51,1017011.96,12204143.51,143101294.9,
11,37,2031,3359790.948,40317491.38,1114869.948,13378439.38,164303721,
12,38,2032,3460584.677,41527016.12,1215663.677,14587964.12,187836269.3,
13,39,2033,3564402.217,42772826.61,1319481.217,15833774.61,213853546.1,
14,40,2034,3671334.284,44056011.4,1426413.284,17116959.4,242519030.8,
15,41,2035,3781474.312,45377691.75,1536553.312,18438639.75,274005554.1,
16,42,2036,3894918.542,46739022.5,1649997.542,19799970.5,308495800.8,
17,43,2037,4011766.098,48141193.17,1766845.098,21202141.17,177832839.1,-168350000
18,44,2038,4132119.081,49585428.97,1757198.081,21086376.97,208865176.9,
19,45,2039,4256082.653,51072991.84,1881161.653,22573939.84,243011072.6,
20,46,2040,4383765.133,52605181.59,2008844.133,24106129.59,280473062.3,
21,47,2041,4515278.087,54183337.04,2140357.087,25684285.04,321465214.7,
22,48,2042,4650736.429,55808837.15,2275815.429,27309785.15,366213749.8,
23,49,2043,4790258.522,57483102.27,2415337.522,28984050.27,414957690.1,
24,50,2044,4933966.278,59207595.33,2559045.278,30708543.33,467949545.1,
25,51,2045,5081985.266,60983823.19,2707064.266,32484771.19,525456032.1,
26,52,2046,5234444.824,62813337.89,2859523.824,34314285.89,587758833.9,
27,53,2047,5391478.169,64697738.03,3016557.169,36198686.03,466805395.9,-188350000
28,54,2048,5553222.514,66638670.17,4418301.514,53019618.17,545816264.8,
29,55,2049,5719819.189,68637830.27,4584898.189,55018778.27,630876795.2,
